Inns,Score,Overs,Conc,Wkts,Ct,St,Unnamed: 7,Opposition,Ground,Start Date,        Type,Format,Team
2,39,-,-,-,-,-,,ODI v Australia,Nagpur,01-Oct-17,ODI # 3919,ODI ,Australia
1,-,DNB,-,-,0,0,,T20I v Australia,Ranchi,07-Oct-17,T20I # 623,T20I, Australia
2,22*,-,-,-,-,-,,T20I v Australia,Ranchi,07-Oct-17,T20I # 623,T20I, Australia
1,0,-,-,-,-,-,,T20I v Australia,Guwahati,10-Oct-17,T20I # 624,T20I, Australia
2,-,DNB,-,-,2,0,,T20I v Australia,Guwahati,10-Oct-17,T20I # 624,T20I, Australia
1,121,-,-,-,-,-,,ODI v New Zealand,Wankhede,22-Oct-17,ODI # 3928,ODI ,New Zealand
2,-,DNB,-,-,0,0,,ODI v New Zealand,Wankhede,22-Oct-17,ODI # 3928,ODI ,New Zealand
1,-,DNB,-,-,1,0,,ODI v New Zealand,Pune,25-Oct-17,ODI # 3931,ODI ,New Zealand
2,29,-,-,-,-,-,,ODI v New Zealand,Pune,25-Oct-17,ODI # 3931,ODI ,New Zealand
1,113,-,-,-,-,-,,ODI v New Zealand,Kanpur,29-Oct-17,ODI # 3932,ODI ,New Zealand
2,-,DNB,-,-,0,0,,ODI v New Zealand,Kanpur,29-Oct-17,ODI # 3932,ODI ,New Zealand
1,26*,-,-,-,-,-,,T20I v New Zealand,Delhi,01-Nov-17,T20I # 630,T20I, New Zealand
2,-,DNB,-,-,0,0,,T20I v New Zealand,Delhi,01-Nov-17,T20I # 630,T20I, New Zealand
1,-,DNB,-,-,0,0,,T20I v New Zealand,Rajkot,04-Nov-17,T20I # 631,T20I, New Zealand
2,65,-,-,-,-,-,,T20I v New Zealand,Rajkot,04-Nov-17,T20I # 631,T20I, New Zealand
1,13,-,-,-,-,-,,T20I v New Zealand,Thiruvananthapuram,07-Nov-17,T20I # 632,T20I, New Zealand
2,-,DNB,-,-,0,0,,T20I v New Zealand,Thiruvananthapuram,07-Nov-17,T20I # 632,T20I, New Zealand
1,0,-,-,-,-,-,,Test v Sri Lanka,Eden Gardens,16-Nov-17,Test # 2281,Test, Sri Lanka
2,-,1.1,5,0,2,0,,Test v Sri Lanka,Eden Gardens,16-Nov-17,Test # 2281,Test, Sri Lanka
3,104*,-,-,-,-,-,,Test v Sri Lanka,Eden Gardens,16-Nov-17,Test # 2281,Test, Sri Lanka
4,-,DNB,-,-,0,0,,Test v Sri Lanka,Eden Gardens,16-Nov-17,Test # 2281,Test, Sri Lanka
1,-,DNB,-,-,0,0,,Test v Sri Lanka,Nagpur,24-Nov-17,Test # 2283,Test, Sri Lanka
2,213,-,-,-,-,-,,Test v Sri Lanka,Nagpur,24-Nov-17,Test # 2283,Test, Sri Lanka
3,-,DNB,-,-,1,0,,Test v Sri Lanka,Nagpur,24-Nov-17,Test # 2283,Test, Sri Lanka
1,243,-,-,-,-,-,,Test v Sri Lanka,Delhi,02-Dec-17,Test # 2286,Test, Sri Lanka
2,-,DNB,-,-,0,0,,Test v Sri Lanka,Delhi,02-Dec-17,Test # 2286,Test, Sri Lanka
3,50,-,-,-,-,-,,Test v Sri Lanka,Delhi,02-Dec-17,Test # 2286,Test, Sri Lanka
4,-,1,1,0,0,0,,Test v Sri Lanka,Delhi,02-Dec-17,Test # 2286,Test, Sri Lanka
